target_id	length	eff_length	est_counts	tpm
YP_081455.1	933	721.704	251	102.408
YP_081456.1	288	92.742	0	0
YP_081457.1	336	132.095	0	0
YP_004940329.1	273	81.2919	1004	3636.7
YP_004940330.1	144	17.8259	423	6987.29
YP_081458.1	513	301.968	6003	5853.67
YP_081459.1	705	493.717	10317	6153.13
YP_081460.1	1245	1033.68	0	0
YP_081461.1	882	670.704	0	0
YP_081462.1	657	445.739	0	0
YP_081463.1	180	29.0961	1445	14623.6
YP_081464.1	450	239.607	108	132.722
YP_081465.1	501	290.005	45651	46351.7
YP_081466.1	843	631.704	1416	660.04
YP_081468.2	975	763.704	82.1774	31.6846
YP_081467.1	669	457.717	320.823	206.39
YP_081469.1	702	490.717	262	157.214
YP_081470.1	765	553.704	136	72.3239
YP_081471.1	819	607.704	1022	495.198
YP_081472.1	1422	1210.68	6108	1485.55
YP_081473.1	984	772.704	1734	660.779
YP_081474.1	309	109.195	108	291.233
YP_081475.1	693	481.717	4843	2960.35
YP_081476.1	315	114.107	5051	13034.3
YP_081477.1	1107	895.685	991	325.791
YP_081478.1	297	99.6636	151	446.129
YP_081479.1	1017	805.685	1398	510.932
YP_081480.1	372	164.734	1993	3562.41
YP_081481.1	318	116.66	70301	177444
YP_081482.1	855	643.704	4642	2123.44
YP_081483.2	1077	865.685	6464	2198.68
YP_081484.1	1971	1759.68	27732	4640.52
YP_081485.1	567	355.83	2626	2173.07
YP_081486.1	1827	1615.68	3504	638.599
YP_081487.2	2103	1891.68	5850	910.6
YP_081489.1	366	159.218	4079	7543.68
YP_007947989.1	240	59.0804	4630	23075.9
YP_081490.1	1788	1576.68	23194	4331.63
YP_081491.1	3150	2938.68	21507	2155
YP_081492.1	1239	1027.68	2683	768.743
YP_081493.1	1224	1012.68	6773	1969.37
YP_081494.1	1926	1714.68	7779	1335.86
YP_081495.1	1431	1219.68	10859	2621.58
YP_081496.1	1467	1255.68	3164	741.953
YP_081497.1	996	784.685	4197	1574.94
YP_081498.1	666	454.717	35274	22842
YP_081499.1	237	57.4247	10302	52825.5
YP_081500.1	378	170.246	6059	10479.6
YP_081501.1	1272	1060.68	21538	5979.15
YP_081502.1	1302	1090.68	26334	7109.49
YP_081503.1	2721	2509.68	8812	1033.89
YP_081504.1	873	661.704	1654	736.024
YP_081505.1	2952	2740.68	2788	299.54
YP_081506.1	6726	6514.68	25286	1142.9
YP_081507.1	228	52.1567	1896	10704.1
YP_081508.1	1713	1501.68	12579	2466.54
YP_081509.1	1197	985.685	4125	1232.27
YP_081510.1	474	263.238	1452	1624.2
YP_081511.1	2007	1795.68	5134	841.873
YP_081512.1	1131	919.685	5291	1694.02
YP_081513.1	3729	3517.68	23302	1950.55
YP_081514.1	2724	2512.68	19441	2278.25
YP_081515.1	2553	2341.68	7011	881.601
YP_081516.1	3708	3496.68	1676	141.136
YP_081517.1	2229	2017.68	6935	1012.08
YP_081518.1	2841	2629.68	4229	473.538
YP_081519.1	1086	874.685	2999	1009.59
YP_081520.1	1167	955.685	8945	2756.05
YP_081521.1	408	198.84	15484	22929.7
YP_081522.1	1419	1207.68	2820	687.569
YP_002802310.2	213	43.8207	8180	54966.1
YP_081523.1	2229	2017.68	17834	2602.65
YP_081524.1	978	766.704	2335.08	896.797
YP_081525.1	1911	1699.68	4061.92	703.694
YP_081526.1	1296	1084.68	44354	12040.6
YP_081527.1	888	676.704	2057	895.068
YP_081528.1	2127	1915.68	7363.47	1131.83
YP_081529.1	1122	910.685	15047.5	4865.39
YP_081530.1	1680	1468.68	29100	5834.25
YP_081531.1	1686	1474.68	24071	4806.35
YP_081532.1	1764	1552.68	30454	5775.4
YP_081533.1	921	709.704	8296	3442.01
YP_081534.1	4113	3901.68	15695	1184.49
YP_081535.1	2826	2614.68	8386	944.4
YP_081536.1	1290	1078.68	4707	1284.9
YP_081537.1	2025	1813.68	11728	1904.07
YP_081538.1	336	132.095	561	1250.54
YP_081539.1	606	394.802	1719	1282.09
YP_081540.1	1785	1573.68	5004.83	936.467
YP_081541.1	1038	826.685	14531.2	5175.85
YP_081542.1	1602	1390.68	6607	1398.93
YP_081543.1	384	175.975	3527	5901.67
YP_081544.1	2124	1912.68	14917	2296.46
YP_081545.1	1755	1543.68	19949.7	3805.39
YP_081546.1	573	361.821	8065.27	6563.65
YP_081547.1	1116	904.685	27122	8827.65
YP_081548.1	2622	2410.68	7866	960.803
YP_081549.1	750	538.704	2546	1391.65
YP_081550.1	2094	1882.68	2950.2	461.419
YP_081551.1	2871	2659.68	5340.8	591.284
YP_081552.1	531	319.921	26700	24574.7
YP_081553.1	2055	1843.68	18947	3026.04
YP_081554.1	753	541.704	3763	2045.47
YP_081555.1	837	625.704	5495	2585.94
YP_081556.1	942	730.704	9801	3949.57
YP_081557.1	1278	1066.68	5915	1632.82
YP_081558.1	1038	826.685	8503	3028.68
YP_081559.1	606	394.802	604	450.483
YP_081560.1	543	331.864	372	330.068
YP_081561.1	1743	1531.68	13845	2661.61
YP_081562.1	1476	1264.68	19372	4510.37
YP_081563.1	453	242.541	1182	1435
