target_id	length	eff_length	est_counts	tpm
YP_081455.1	933	710.899	483	157.083
YP_081456.1	288	88.9034	0	0
YP_081457.1	336	125.692	0	0
YP_004940329.1	273	79.1654	453	1322.98
YP_004940330.1	144	19.4237	442	5261.15
YP_081458.1	513	291.728	2635	2088.3
YP_081459.1	705	482.955	36786	17610.3
YP_081460.1	1245	1022.9	0	0
YP_081461.1	882	659.916	0	0
YP_081462.1	657	435.012	0	0
YP_081463.1	180	32.4403	871	6207.59
YP_081464.1	450	230.143	594	596.733
YP_081465.1	501	279.957	269827	222836
YP_081466.1	843	620.916	2872	1069.4
YP_081468.2	975	752.899	543.992	167.05
YP_081467.1	669	446.99	965.008	499.142
YP_081469.1	702	479.955	530	255.309
YP_081470.1	765	542.93	394	167.781
YP_081471.1	819	596.916	3572	1383.53
YP_081472.1	1422	1199.9	14992	2888.72
YP_081473.1	984	761.899	1961	595.073
YP_081474.1	309	104.287	144	319.245
YP_081475.1	693	470.967	6712	3294.97
YP_081476.1	315	108.869	9879	20979.6
YP_081477.1	1107	884.899	1566	409.155
YP_081478.1	297	95.4398	577	1397.77
YP_081479.1	1017	794.899	3849	1119.51
YP_081480.1	372	157.014	5007	7372.75
YP_081481.1	318	111.284	46211	96006.7
YP_081482.1	855	632.916	3289	1201.46
YP_081483.2	1077	854.899	6486	1754.09
YP_081484.1	1971	1748.9	14412	1905.24
YP_081485.1	567	345.194	2575	1724.67
YP_081486.1	1827	1604.9	3490	502.768
YP_081487.2	2103	1880.9	11639	1430.67
YP_081489.1	366	151.736	1313	2000.62
YP_007947989.1	240	59.7919	582	2250.46
YP_081490.1	1788	1565.9	12651	1867.89
YP_081491.1	3150	2927.9	9326	736.427
YP_081492.1	1239	1016.9	7590	1725.66
YP_081493.1	1224	1001.9	13436	3100.53
YP_081494.1	1926	1703.9	9052	1228.26
YP_081495.1	1431	1208.9	12829	2453.54
YP_081496.1	1467	1244.9	4055	753.09
YP_081497.1	996	773.899	7138	2132.47
YP_081498.1	666	444.012	24004	12499.1
YP_081499.1	237	58.16	4466	17753.5
YP_081500.1	378	162.405	5634	8020.63
YP_081501.1	1272	1049.9	11282	2484.44
YP_081502.1	1302	1079.9	18502	3961.19
YP_081503.1	2721	2498.9	17215	1592.75
YP_081504.1	873	650.916	3198	1135.91
YP_081505.1	2952	2729.9	5345	452.68
YP_081506.1	6726	6503.9	30944	1100
YP_081507.1	228	53.3099	2083	9033.84
YP_081508.1	1713	1490.9	16013	2483.22
YP_081509.1	1197	974.899	5983	1418.89
YP_081510.1	474	253.484	3567	3253.44
YP_081511.1	2007	1784.9	9819	1271.87
YP_081512.1	1131	908.899	10523	2676.79
YP_081513.1	3729	3506.9	38600	2544.8
YP_081514.1	2724	2501.9	36704	3391.83
YP_081515.1	2553	2330.9	13537	1342.73
YP_081516.1	3708	3485.9	4803	318.558
YP_081517.1	2229	2006.9	9022	1039.36
YP_081518.1	2841	2618.9	4788	422.694
YP_081519.1	1086	863.899	4429	1185.31
YP_081520.1	1167	944.899	6272	1534.66
YP_081521.1	408	189.966	5579	6790.02
YP_081522.1	1419	1196.9	1576	304.431
YP_002802310.2	213	46.5262	6418	31892.8
YP_081523.1	2229	2006.9	19709	2270.54
YP_081524.1	978	755.899	2625.17	802.942
YP_081525.1	1911	1688.9	4406.83	603.271
YP_081526.1	1296	1073.9	184588	39740.2
YP_081527.1	888	665.899	3321	1153.06
YP_081528.1	2127	1904.9	7414.89	899.96
YP_081529.1	1122	899.899	8041.11	2065.92
YP_081530.1	1680	1457.9	5299	840.343
YP_081531.1	1686	1463.9	4827	762.354
YP_081532.1	1764	1541.9	33507	5024.24
YP_081533.1	921	698.899	2033	672.532
YP_081534.1	4113	3890.9	6134	364.489
YP_081535.1	2826	2603.9	9422	836.584
YP_081536.1	1290	1067.9	4897	1060.21
YP_081537.1	2025	1802.9	10997	1410.24
YP_081538.1	336	125.692	1884	3465.47
YP_081539.1	606	384.102	2806	1689.01
YP_081540.1	1785	1562.9	11729.5	1735.15
YP_081541.1	1038	815.899	17173.5	4866.46
YP_081542.1	1602	1379.9	13907	2330.11
YP_081543.1	384	167.786	4572	6299.99
YP_081544.1	2124	1901.9	29150	3543.57
YP_081545.1	1755	1532.9	25380.2	3827.99
YP_081546.1	573	351.194	9304.85	6125.66
YP_081547.1	1116	893.899	5116	1323.22
YP_081548.1	2622	2399.9	11687	1125.9
YP_081549.1	750	527.93	1636	716.469
YP_081550.1	2094	1871.9	2522.49	311.557
YP_081551.1	2871	2648.9	25039.5	2185.5
YP_081552.1	531	309.526	8165	6098.88
YP_081553.1	2055	1832.9	24739	3120.57
YP_081554.1	753	530.93	2141	932.33
YP_081555.1	837	614.916	5246	1972.44
YP_081556.1	942	719.899	11489	3689.78
YP_081557.1	1278	1055.9	8699	1904.75
YP_081558.1	1038	815.899	10296	2917.58
YP_081559.1	606	384.102	758	456.26
YP_081560.1	543	321.399	302	217.246
YP_081561.1	1743	1520.9	7053.97	1072.32
YP_081562.1	1476	1253.9	16839	3104.88
YP_081563.1	453	233.061	632	626.958
YP_081565.1	645	423.012	1891	1033.55
YP_081566.1	390	173.199	713	951.775
YP_081567.1	813	590.916	40650	15904.7
YP_081568.1	951	728.899	18299	5804.31
YP_081569.1	228	53.3099	4103	17794.4
YP_081570.1	480	259.388	1638	1460.01
YP_081571.1	363	149.06	0	0
YP_081572.1	393	175.901	16252	21361.4
YP_081573.1	531	309.526	27228	20338.1
YP_081574.1	918	695.899	325	107.976
YP_081575.1	1017	794.899	5376	1563.64
YP_081576.1	576	354.185	1742	1137.13
YP_081577.1	417	198.42	2023	2357.22
YP_081578.1	510	288.8	10036	8034.39
YP_081579.1	723	500.943	10510	4850.71
YP_081580.1	927	704.899	8599	2820.4
YP_081581.1	774	551.93	9341	3912.91
YP_081582.1	243	61.3987	1809	6811.93
YP_081583.1	243	61.3987	2700	10167.1
YP_081584.1	234	56.5009	2161	8842.81
YP_081585.1	189	36.2395	2268	14469.4
YP_081586.1	1920	1697.9	19506.9	2656.24
YP_004940331.1	816	593.916	12042.1	4687.78
YP_081587.1	2544	2321.9	0	0
YP_081588.1	471	250.541	0	0
YP_081589.1	600	378.112	321	196.28
YP_081590.1	561	339.211	0	0
YP_081591.1	549	327.294	0	0
YP_081592.1	678	455.967	999	506.55
YP_081593.1	684	461.967	7258	3632.42
YP_081594.1	744	521.93	6838	3029.05
YP_081595.1	558	336.228	2763	1899.93
YP_081596.1	648	426.012	4216	2288.07
YP_081597.1	846	623.916	25066	9288.58
YP_081598.1	786	563.93	12108	4964.06
YP_081599.1	933	710.899	17437	5670.93
YP_081600.1	789	566.93	7216	2942.78
YP_081601.1	930	707.899	10582	3456.1
YP_081602.1	882	659.916	2606	913.012
YP_081603.1	825	602.916	31120	11933.7
YP_081604.1	723	500.943	13884	6407.92
YP_081605.1	765	542.93	19974	8505.73
YP_081606.1	732	509.93	1640	743.573
YP_081607.1	1731	1508.9	20789	3185.4
YP_081608.1	1779	1556.9	10607	1575.15
YP_081609.1	1506	1283.9	7490	1348.78
YP_081610.1	1812	1589.9	18882	2745.8
YP_081611.1	1095	872.899	14572	3859.63
YP_081612.1	1065	842.899	68728	18851.6
YP_081613.1	1389	1166.9	3282.96	650.463
YP_081614.1	1050	827.899	11389	3180.53
YP_081615.1	486	265.256	4727	4120.12
YP_081616.1	552	330.278	4602	3221.5
YP_004940332.1	174	30.0495	3455	26582.8
YP_081617.1	492	271.088	33236	28345.8
YP_081618.1	195	38.6142	2244	13435.9
YP_081619.1	2367	2144.9	5607	604.386
