target_id test_stat pval qval
YP_081530.1 15.1752408286053 9.79797260360751e-05 0.00843730762727848
YP_081547.1 15.0244076074701 0.000106129655689037 0.00843730762727848
YP_081552.1 14.0541168546369 0.000177624572072155 0.00941410231982419
YP_081551.1 12.4635516350029 0.000414970161156292 0.0164950639059626
YP_081577.1 11.8643164579106 0.000572197678795649 0.0176780726799117
YP_081489.1 11.5787517077887 0.000667097082260817 0.0176780726799117
YP_081574.1 11.0339165603048 0.000894599441836986 0.0187460347338309
YP_081521.1 10.8639382043463 0.000980549539437685 0.0187460347338309
YP_081576.1 10.7178022840313 0.00106109630568854 0.0187460347338309
YP_081490.1 10.1906104969744 0.00141157573658324 0.0224440542116736
YP_081522.1 9.38737880419871 0.00218484366785939 0.0315809221081493
YP_081561.1 8.95327307663974 0.00276972887993189 0.0366989076590976
YP_081613.1 8.63952459899411 0.00328947256354801 0.0402327798157026
YP_081600.1 8.39498870075197 0.00376256850759047 0.0427320280504918
YP_081520.1 8.25330978060653 0.0040677764889119 0.0431184307824662
YP_081533.1 8.03352840629799 0.00459193014118663 0.0456323057780422
YP_081601.1 7.86881766295848 0.00502945277192959 0.0470401759256944
YP_081595.1 7.68016602442774 0.00558310312920854 0.0493174109746755
